#stokes,freq,ind,real,imag
9,103000000000.00000000,0,20.69273160,0.73150520
9,103000000000.00000000,1,-0.86863580,-12.27525340
9,103000000000.00000000,2,1.32806570,-15.57072750
9,103000000000.00000000,3,-81.46626280,45.85478320
9,103000000000.00000000,4,-10.73764570,-0.60535990
9,103000000000.00000000,5,-0.90402430,1.19887480
9,103000000000.00000000,6,1.42129390,2.86414450
9,103000000000.00000000,7,-1.97997940,5.42428690
9,103000000000.00000000,8,-1.71164940,1.11475660
9,103000000000.00000000,9,0.85625430,6.43451090
9,103000000000.00000000,10,136.60562700,-80.68246170
9,103000000000.00000000,11,-0.50532360,-0.06890740
9,103000000000.00000000,12,-1.73748050,-0.27502200
9,103000000000.00000000,13,0.51758260,-1.10971490
9,103000000000.00000000,14,-0.09841240,0.15013260
9,103000000000.00000000,15,-0.14581400,-0.29711850
9,103000000000.00000000,16,-0.66944750,-1.39054840
9,103000000000.00000000,17,0.41140390,-0.25124470
9,103000000000.00000000,18,-0.26442100,-1.45359050
9,103000000000.00000000,19,0.31983760,5.37470730
9,103000000000.00000000,20,0.13604810,0.09169130
9,103000000000.00000000,21,34.10474530,-22.11683920
9,103000000000.00000000,22,2.38538200,-0.41550670
9,103000000000.00000000,23,10.13159590,-6.17188770
9,103000000000.00000000,24,0.66536090,0.82465300
9,103000000000.00000000,25,-0.40084330,-0.41394560
9,103000000000.00000000,26,-0.68662080,-0.18469800
9,103000000000.00000000,27,0.13468940,0.07048370
9,103000000000.00000000,28,0.02589230,-0.39528700
9,103000000000.00000000,29,0.03920470,0.17682990
9,103000000000.00000000,30,0.00790850,0.20164750
9,103000000000.00000000,31,0.40992080,0.98232300
9,103000000000.00000000,32,0.04732320,0.33141750
9,103000000000.00000000,33,0.19063270,0.47617520
9,103000000000.00000000,34,-0.04839670,-0.04926180
9,103000000000.00000000,35,-0.64423570,-4.05030880
9,103000000000.00000000,36,-2.81033530,2.10937710
9,103000000000.00000000,37,2.14343340,-1.47248290
9,103000000000.00000000,38,-1.43924000,1.04132350
9,103000000000.00000000,39,1.64532560,-1.15048780
9,103000000000.00000000,40,-1.66881470,-0.30827390
9,103000000000.00000000,41,0.02600990,0.47397000
9,103000000000.00000000,42,1.34527540,0.05218010
9,103000000000.00000000,43,0.07707170,0.00827830
9,103000000000.00000000,44,-0.37908990,0.01545600
9,103000000000.00000000,45,0.03654220,0.13829500
9,103000000000.00000000,46,-0.12286140,0.39483910
9,103000000000.00000000,47,0.17184680,-0.15032030
9,103000000000.00000000,48,-0.09288310,-0.15810720
9,103000000000.00000000,49,0.01514130,0.32088650
9,103000000000.00000000,50,-0.10577210,-0.00597030
9,103000000000.00000000,51,0.18240240,0.51710650
9,103000000000.00000000,52,0.04872260,-0.07840430
9,103000000000.00000000,53,-0.12415210,-0.80902480
9,103000000000.00000000,54,0.21570100,1.68915780
9,103000000000.00000000,55,0.04433340,-0.11971570
9,103000000000.00000000,56,-0.08463280,-0.13518920
9,103000000000.00000000,57,-0.14569810,0.04003040
9,103000000000.00000000,58,-0.04205910,-0.02812500
9,103000000000.00000000,59,0.01112680,0.11932540
9,103000000000.00000000,60,1.36675140,-0.01992130
9,103000000000.00000000,61,0.13245370,-0.20053530
9,103000000000.00000000,62,-0.85664460,-0.16001390
9,103000000000.00000000,63,-0.17122920,-0.00850640
9,103000000000.00000000,64,0.96040120,0.07965010
9,103000000000.00000000,65,0.09072740,0.03831840
