#stokes,freq,ind,real,imag
9,103000000000.00000000,0,13.60850710,7.43060570
9,103000000000.00000000,1,3.68007080,-6.51144620
9,103000000000.00000000,2,9.76920620,-15.32763830
9,103000000000.00000000,3,23.32504940,-23.11644940
9,103000000000.00000000,4,-8.28380120,-4.35742240
9,103000000000.00000000,5,0.44959930,-0.41279190
9,103000000000.00000000,6,0.16832010,-1.18991820
9,103000000000.00000000,7,-2.98885560,4.95478280
9,103000000000.00000000,8,2.25561160,1.65727510
9,103000000000.00000000,9,-10.44576150,9.39424430
9,103000000000.00000000,10,-45.06356950,39.23536100
9,103000000000.00000000,11,-2.21895940,1.30536120
9,103000000000.00000000,12,-1.46014130,0.02997390
9,103000000000.00000000,13,-0.86622880,0.23668660
9,103000000000.00000000,14,-0.21862670,-0.76704870
9,103000000000.00000000,15,-0.38567290,-0.04050590
9,103000000000.00000000,16,-0.45878000,1.50586020
9,103000000000.00000000,17,0.67695010,-0.13218850
9,103000000000.00000000,18,2.31723950,-1.70459630
9,103000000000.00000000,19,-5.50935670,4.88181520
9,103000000000.00000000,20,-0.35299370,0.01491310
9,103000000000.00000000,21,-15.86057860,11.31119400
9,103000000000.00000000,22,1.70239650,0.11421940
9,103000000000.00000000,23,-3.75619700,3.05957330
9,103000000000.00000000,24,0.66856940,-0.32385830
9,103000000000.00000000,25,0.69524600,-0.37411490
9,103000000000.00000000,26,0.92765660,0.60152450
9,103000000000.00000000,27,-0.07686050,-0.21195570
9,103000000000.00000000,28,0.02272540,-0.21198030
9,103000000000.00000000,29,0.22615960,-0.26185690
9,103000000000.00000000,30,0.02531560,-0.79310200
9,103000000000.00000000,31,-0.62237660,0.28559530
9,103000000000.00000000,32,0.51473650,-0.81365470
9,103000000000.00000000,33,-1.97117950,1.74848430
9,103000000000.00000000,34,0.42731400,-0.21121140
9,103000000000.00000000,35,5.53069200,-5.13280010
9,103000000000.00000000,36,1.58010510,-1.05091910
9,103000000000.00000000,37,-1.31488670,0.71023030
9,103000000000.00000000,38,0.56993960,-0.44827840
9,103000000000.00000000,39,-0.95216730,0.59278800
9,103000000000.00000000,40,-1.17317320,-0.75446500
9,103000000000.00000000,41,-0.39411130,0.17725860
9,103000000000.00000000,42,-0.80156070,-0.19688880
9,103000000000.00000000,43,0.22864420,0.25871990
9,103000000000.00000000,44,-0.18086830,-0.35096250
9,103000000000.00000000,45,-0.05657510,0.05078770
9,103000000000.00000000,46,-0.05205650,0.26229870
9,103000000000.00000000,47,-0.09647860,0.18386110
9,103000000000.00000000,48,0.12710490,0.38295620
9,103000000000.00000000,49,0.25639780,0.18399050
9,103000000000.00000000,50,0.26093690,0.22537440
9,103000000000.00000000,51,-0.08800140,0.10840170
9,103000000000.00000000,52,-0.20623570,0.14537870
9,103000000000.00000000,53,1.12686740,-1.03144240
9,103000000000.00000000,54,-2.49166010,2.15157440
9,103000000000.00000000,55,-0.10968480,-0.03935100
9,103000000000.00000000,56,0.09039870,0.02517260
